order_id,user_id,gender,age,country,product_category,product_brand,product_department,retail_price,sale_price,discount_amount,discount_percent,days_to_ship,shipping_duration,days_to_return,is_returned,order_status,order_date,order_day_of_week,order_month,order_year
16,10,F,39,China,Leggings,DKNYC,Women,39.2400016784668,39.2400016784668,0,0,2,2,,0,Complete,2025-08-14 15:34:00 UTC,5,8,2025
17,10,F,39,China,Dresses,Hey Viv !,Women,42.9900016784668,42.9900016784668,0,0,1,1,,0,Complete,2020-10-11 15:34:00 UTC,1,10,2020
18,11,F,61,China,Intimates,Olga,Women,26,26,0,0,0,0,,0,Complete,2025-05-09 10:00:00 UTC,6,5,2025
18,11,F,61,China,Shorts,Craft,Women,39.950000762939446,39.950000762939446,0,0,0,0,,0,Complete,2025-05-09 10:00:00 UTC,6,5,2025
21,11,F,61,China,Intimates,Vanity Fair,Women,34,34,0,0,1,4,,0,Complete,2025-05-30 10:00:00 UTC,6,5,2025
32,19,F,69,South Korea,Intimates,Vanity Fair,Women,15,15,0,0,2,4,,0,Complete,2023-08-12 18:39:00 UTC,7,8,2023
32,19,F,69,South Korea,Tops & Tees,Carhartt,Women,47,47,0,0,2,4,,0,Complete,2023-08-12 18:39:00 UTC,7,8,2023
32,19,F,69,South Korea,Fashion Hoodies & Sweatshirts,American Apparel,Women,50,50,0,0,2,4,,0,Complete,2023-08-12 18:39:00 UTC,7,8,2023
34,22,F,25,China,Maternity,Motherhood Maternity,Women,26.979999542236328,26.979999542236328,0,0,1,2,,0,Complete,2023-06-08 10:08:00 UTC,5,6,2023
42,28,F,66,China,Pants & Capris,Woman Within,Women,24.989999771118164,24.989999771118164,0,0,0,2,,0,Complete,2025-07-19 03:43:00 UTC,7,7,2025
43,28,F,66,China,Skirts,FineBrandShop,Women,12,12,0,0,1,0,,0,Complete,2021-11-10 03:43:00 UTC,4,11,2021
44,29,F,54,Brasil,Intimates,Ilusion,Women,8.9799995422363281,8.9799995422363281,0,0,1,1,,0,Complete,2025-09-29 17:18:00 UTC,2,9,2025
44,29,F,54,Brasil,Fashion Hoodies & Sweatshirts,NEFF,Women,70,70,0,0,1,1,,0,Complete,2025-09-29 17:18:00 UTC,2,9,2025
50,33,F,65,United States,Socks & Hosiery,HUE,Women,8.5,8.5,0,0,2,0,,0,Complete,2024-02-17 05:01:00 UTC,7,2,2024
50,33,F,65,United States,Skirts,G by GUESS,Women,39.5,39.5,0,0,2,0,,0,Complete,2024-02-17 05:01:00 UTC,7,2,2024
50,33,F,65,United States,Fashion Hoodies & Sweatshirts,Aeropostale,Women,55.5,55.5,0,0,2,0,,0,Complete,2024-02-17 05:01:00 UTC,7,2,2024
